,Name,                HIP,Comment,                    RAh,RAm,RAs,DECsign,DECd,DEC’,DEC”,RA_degrees,DEC_degrees,V_mag,band,spectral_type,Planet,Teff,e_Teff,logg,e_logg,[Fe/H],e_feh,works,mass,e_mass
5799,HD 165135           ,88635,gam02 Sgr                    ,18,5,48.4869,-,30,25,26.729,271.4520264,-30.4240913,2.99, ,K0III         , ,4760,100,2.72,0.15,-0.23,0.15,1,1.071,0.218
5800,HD 165155           ,88650,                             ,18,5,57.3497,-,29,55,2.09,271.4889526,-29.9172459,9.36, ,G8V           , ,5387,107.74,4.39,0.15,0.12,0.15,1,0.913,0.051
5801,HD 165173           ,88511,                             ,18,4,26.3502,+,6,26,11.009,271.1098328,6.4363914,7.95, ,G5            , ,5482,93.194,4.38,0.11,-0.03,0.11,2,0.894,0.04
5802,HD 165185           ,88694,                             ,18,6,23.7193,-,36,1,11.239,271.5988159,-36.0197868,5.949, ,G5V           , ,5918,100.606,4.51,0.11,-0.02,0.11,2,1.031,0.049
5803,HD 165195           ,88527,                             ,18,4,40.0719,+,3,46,44.721,271.1669922,3.7790892,7.34, ,KIIvw         , ,4385,130,1.15,0.26,-2.13,0.11,18,0.886,0.134
5804,HD 165204           ,88631,                             ,18,5,46.734,-,23,31,3.819,271.4447327,-23.5177269,9.155, ,G7V           , ,5645,95.965,4.36,0.11,0.3,0.11,2,1.042,0.054
5805,HD 165222           ,88574,LHS 3356                     ,18,5,7.5787,-,3,1,52.753,271.2815857,-3.0313203,9.36, ,M1.0V         , ,3659,109,4.88,0.1,-0.23,0.05,6,0.492,0.0205
5806,HD 165269           ,88683,                             ,18,6,13.7604,-,27,29,33.679,271.5573425,-27.4926891,7.29, ,G1V           , ,6019,84.266,4.04,0.09,0.24,0.09,3,1.316,0.0965
5807,HD 165341           ,88601,70 Oph                       ,18,5,27.2855,+,2,30,0.358,271.3637085,2.5000994,4.03, ,K0V           , ,5294,52.94,4.49,0.1,0.06,0.06,9,0.871,0.0285
5808,HD 165357           ,89162,                             ,18,11,46.9825,-,70,19,7.521,272.9457397,-70.3187561,8.89, ,G3V           , ,5835,116.7,4.32,0.15,0.07,0.15,1,1.037,0.0725
5809,HD 165360           ,88656,Double or multiple star      ,18,6,1.6067,-,8,6,31.008,271.5067139,-8.108614,7.1, ,F8            , ,5983,119.66,4.16,0.15,-0.67,0.15,1,0.891,0.0655
5810,HD 165401           ,88622,                             ,18,5,37.4544,+,4,39,25.798,271.4060669,4.657166,6.786, ,G2V           , ,5796,59,4.41,0.15,-0.4,0.05,13,0.9,0.0315
5811,HD 165419           ,0,                             ,18,5,47.563,+,1,59,8.14,271.4481812,1.9855945,7.21, ,K2            , ,4368,85,2.31,0.11,-0.09,0.11,2,1.045,0.142
5812,HD 165438           ,88684,                             ,18,6,15.1971,-,4,45,4.507,271.563324,-4.7512522,5.748, ,K1IV          , ,4919,70,3.41,0.15,0.06,0.09,3,1.185,0.19
5813,HD 165462           ,88671,                             ,18,6,7.428,-,0,26,46.062,271.5309753,-0.4461283,6.352, ,G8IIp         , ,4891,130,2.22,0.6,0.07,0.11,4,1.246,0.4315
5814,HD 165476           ,88644,                             ,18,5,52.2316,+,7,5,26.338,271.4676514,7.0906496,7.66, ,G5            , ,5845,116.9,4.1,0.15,-0.06,0.15,1,1.046,0.093
5815,HD 165499           ,89042,iot Pav                      ,18,10,26.1631,-,62,0,7.911,272.6090088,-62.0021973,5.49, ,G0V           , ,5942,101.014,4.29,0.11,-0.08,0.11,2,1.043,0.059
5816,HD 165567           ,88533,HR6764                       ,18,4,43.198,+,40,5,3.057,271.1799927,40.0841827,6.52, ,F7V           , ,6258,125.16,3.99,0.15,0.06,0.15,1,1.357,0.146
5817,HD 165574           ,88701,                             ,18,6,28.7341,+,2,40,37.468,271.619751,2.6770744,8.87, ,K0            , ,4451,100,2.55,0.15,-0.15,0.15,1,1.028,0.1305
5818,HD 165592           ,0,                             ,18,6,36.8927,+,1,35,13.685,271.653717,1.5871346,8.94, ,K0            , ,4922,100,2.68,0.15,-0.32,0.15,1,1.235,0.46
5819,HD 165634           ,88839,                             ,18,8,4.9795,-,28,27,25.535,272.020752,-28.4570942,4.57, ,G7:IIIb       , ,4910,108,2.38,0.46,-0.13,0.06,5,1.279,0.465
5820,HD 165645           ,88565,gam Dor type                 ,18,5,0.7988,+,41,56,46.644,271.2533264,41.9462929,6.381, ,F0V           , ,7294,145.88,3.99,0.15,0.02,0.15,1,1.695,0.173
5821,HD 165670           ,88728,                             ,18,6,50.7766,+,8,52,33.381,271.7115784,8.8759394,6.98, ,F5            , ,6178,123.56,4,0.15,-0.1,0.15,1,1.241,0.135
5822,HD 165683           ,88636,                             ,18,5,49.6111,+,32,13,50.425,271.4567261,32.2306747,5.709, ,K0III         , ,4600,100,2.35,0.15,-0.12,0.15,1,1.182,0.3565
5823,HD 165687           ,88816,                             ,18,7,48.3406,-,17,9,14.974,271.951416,-17.1541595,5.519, ,K0III         , ,4624,85,2.61,0.11,0,0.11,2,1.102,0.2265
5824,HD 165742           ,88770,                             ,18,7,20.9843,+,2,28,54.017,271.8374329,2.4816713,6.51, ,K5            , ,4178,100,2.06,0.15,-0.22,0.15,1,1.033,0.1405
5825,HD 165760           ,88765,71 Oph                       ,18,7,18.3601,+,8,44,1.922,271.8265076,8.7338676,4.647, ,G8III         , ,4987,50,2.78,0.19,0.01,0.05,6,2.614,0.4275
5826,HD 165784           ,88876,                             ,18,8,38.5855,-,21,26,58.413,272.1607666,-21.4495583,6.51, ,A2/A3Iab      , ,9000,180,1.5,0.15,-0.01,0.15,1,-1,-1
5827,HD 165833           ,88879,                             ,18,8,41.5703,-,20,5,13.743,272.1732178,-20.0871506,7.84, ,G0Ib          , ,5467,109.34,1.18,0.15,0.18,0.15,1,-1,-1
5828,HD 165896           ,88937,multiple?                    ,18,9,15.0673,-,26,7,0.415,272.3127747,-26.1167812,7.61, ,G3V           , ,6206,124.12,4.38,0.15,-0.52,0.15,1,0.984,0.0655
5829,HD 165908           ,88745,99 Her                       ,18,7,1.5392,+,30,33,43.702,271.7564087,30.5621395,5.068, ,F7V           , ,5962,80,4.16,0.13,-0.58,0.07,16,0.909,0.051
5830,HD 165920           ,88942,LHS 5333                     ,18,9,17.6797,-,22,54,30.381,272.3236694,-22.9084396,8, ,K1V           , ,5331,53.31,4.41,0.05,0.32,0.05,5,0.94,0.026
5831,HD 165978           ,89010,                             ,18,9,59.9631,-,32,43,10.688,272.4998474,-32.719635,6.415, ,K0IV          , ,4660,100,2.6,0.15,-0.37,0.15,1,1.014,0.159
5832,HD 166081           ,89036,                             ,18,10,20.8748,-,31,6,43.939,272.5869751,-31.1122055,8.87, ,G5V           , ,5874,99.858,4.26,0.11,-0.01,0.11,2,1.037,0.061
5833,HD 166136           ,89076,Double or multiple star      ,18,10,46.2322,-,35,28,41.052,272.692627,-35.4780693,9.003, ,G3V           , ,5698,96.866,4.34,0.11,0.04,0.11,2,0.976,0.0515
5834,HD 166161           ,88977,                             ,18,9,40.6849,-,8,46,45.61,272.4194946,-8.779336,8.16, ,G5            , ,5246,139,2.31,0.33,-1.21,0.09,16,1.098,0.414
5835,HD 166167           ,89029,                             ,18,10,14.1228,-,21,19,37.811,272.5588379,-21.3271713,8.62, ,A0Iab/Ib      , ,9600,192,2,0.15,0.06,0.15,1,-1,-1
5836,HD 166182           ,88886,Star in double system        ,18,8,45.4914,+,20,48,52.407,272.1895447,20.8145561,4.355, ,B2IV          , ,20000,400,3.54,0.15,-0.2,0.15,1,-1,-1
5837,HD 166207           ,88732,Spectroscopic binary         ,18,6,53.4771,+,50,49,22.162,271.7228088,50.8228226,6.306, ,K0III         , ,4806,100,2.67,0.15,0.02,0.15,1,1.363,0.538
5838,HD 166208           ,88788,                             ,18,7,28.7399,+,43,27,42.809,271.869751,43.4618912,5.011, ,G8IIICN...    , ,5041,72,2.68,0.06,0.09,0.05,6,2.926,0.1115
5839,HD 166219           ,89105,                             ,18,11,7.2554,-,32,59,27.439,272.7802124,-32.9909554,8.934, ,G8V           , ,5735,97.495,4.47,0.11,0.09,0.11,2,1.003,0.05
5840,HD 166229           ,88836,                             ,18,8,2.2384,+,36,24,4.55,272.0093384,36.4012642,5.48, ,K2.5III       , ,4593,70,2.73,0.12,0.15,0.09,3,1.099,0.191
5841,HD 166230           ,88899,                             ,18,8,52.8636,+,20,2,42.838,272.2202759,20.0452328,5.109, ,A8III         , ,7750,155,3.68,0.15,0.08,0.15,1,2.328,0.1895
5842,HD 166263           ,89071,                             ,18,10,44.1453,-,22,14,22.98,272.6839294,-22.2397175,7.81, ,F8Ib          , ,5958,119.16,1.68,0.15,0.25,0.15,1,-1,-1
5843,HD 166285           ,89000,                             ,18,9,54.0135,+,3,7,11.376,272.4750366,3.1198266,5.69, ,F5V           , ,6266,99,4.03,0.09,-0.15,0.09,3,1.256,0.0905
5844,HD 166435           ,88945,                             ,18,9,21.3811,+,29,57,6.161,272.3390808,29.9517117,6.85, ,G0            , ,5803,60,4.47,0.09,0,0.05,6,1.01,0.0295
5845,HD 166460           ,89065,                             ,18,10,40.2998,+,3,19,27.32,272.6679077,3.3242555,5.5, ,K2III         , ,4475,85,2.36,0.11,0.08,0.11,2,1.161,0.3
5846,HD 166464           ,89153,11 Sgr                       ,18,11,43.333,-,23,42,4.447,272.930542,-23.7012367,4.98, ,K0III         , ,4747,71,2.7,0.09,-0.03,0.09,3,1.304,0.3975
5847,HD 166494           ,88790,                             ,18,7,29.4248,+,56,48,6.844,271.8725891,56.801899,7.68, ,K0            , ,5679,113.58,3.76,0.15,0.22,0.15,1,1.335,0.184
5848,HD 166553           ,89269,Double or multiple star      ,18,12,59.1431,-,39,9,42.673,273.2464294,-39.1618538,7.3, ,G1/G2V        , ,5940,100.98,4.1,0.11,0.01,0.11,2,1.123,0.086
5849,HD 166578           ,88716,                             ,18,6,40.5614,+,64,13,17.145,271.6690063,64.2214279,6.683, ,K0            , ,4859,100,2.52,0.15,-0.63,0.15,1,1.036,0.251
5850,HD 166599           ,89487,                             ,18,15,40.6171,-,63,3,19.319,273.91922,-63.0553665,5.591, ,K0III-IV      , ,5005,100.1,2.6,0.15,-0.03,0.15,1,2.69,0.4405
5851,HD 166620           ,88972,HR 6806                      ,18,9,37.4162,+,38,27,27.995,272.4058838,38.4577789,6.4, ,K2V           , ,5040,72,4.48,0.18,-0.16,0.05,9,0.771,0.026
5852,HD 166640           ,89008,                             ,18,9,58.9958,+,36,27,58.622,272.4958191,36.4662857,5.57, ,G8III         , ,5045,85.765,2.97,0.11,0,0.11,2,2.174,0.3925
5853,HD 166724           ,89354,                             ,18,13,59.6758,-,42,34,31.356,273.4986572,-42.5753746,9.34, ,K0IV/V        , ,5124,71.736,4.48,0.09,-0.06,0.09,3,0.81,0.0295
5854,HD 166745           ,89321,                             ,18,13,33.2304,-,33,29,56.616,273.3884888,-33.4990616,8.48, ,G5V           , ,5621,112.42,4.31,0.15,0.25,0.15,1,1.024,0.0705
5855,HD 166823           ,89207,                             ,18,12,18.1628,+,1,53,50.789,273.0756836,1.8974414,8.465, ,G5            , ,5916,100.572,4.43,0.11,0.08,0.11,2,1.063,0.054
5856,HD 166913           ,89554,                             ,18,16,25.6832,-,59,24,11.236,274.1069946,-59.4031219,8.23, ,F6:Vw         , ,6108,87,4.2,0.15,-1.55,0.06,10,0.773,0.027
5857,HD 166937           ,89341,                             ,18,13,45.8088,-,21,3,31.794,273.4408569,-21.0588303,3.85, ,B8Iap         , ,12200,244,1.75,0.15,0,0.15,1,-1,-1
5858,HD 166955           ,89082,                             ,18,10,50.0077,+,44,35,53.857,272.708374,44.5982933,6.81, ,K0            , ,4863,100,2.25,0.15,-0.12,0.15,1,2.6,0.5395
5859,HD 167006           ,89172,                             ,18,11,54.157,+,31,24,19.259,272.975647,31.4053497,4.994, ,M3III         , ,3526,85,1.08,0.11,-0.11,0.11,2,1.028,0.113
5860,HD 167036           ,89369,14 Sgr                       ,18,14,15.9007,-,21,42,47.39,273.5662537,-21.7131653,5.491, ,K2III         , ,3940,100,1.7,0.15,-0.13,0.15,1,1.044,0.1415
5861,HD 167042           ,89047,                             ,18,10,31.6403,+,54,17,11.588,272.6318359,54.2865524,5.97, ,K1III         ,P,4997,58,3.43,0.15,0.05,0.07,8,1.353,0.2205
5862,HD 167060           ,89650,                             ,18,17,44.143,-,61,42,31.622,274.4339294,-61.708786,8.92, ,G3V           , ,5847,58.47,4.43,0.05,-0.01,0.05,5,1.02,0.0295
5863,HD 167105           ,89102,                             ,18,11,6.3096,+,50,47,32.412,272.7762756,50.7923355,8.93, ,A0            , ,9000,180,3.1,0.15,-1.54,0.15,1,2.879,0.2355
5864,HD 167215           ,89270,Star in double system        ,18,12,59.403,+,28,15,27.368,273.2475281,28.2576027,8.08, ,F8            , ,6220,132,4.14,0.11,-0.25,0.11,2,1.13,0.0885
5865,HD 167264           ,89439,                             ,18,15,12.9061,-,20,43,41.787,273.803772,-20.7282753,5.37, ,B0Iab         , ,27500,550,3.05,0.15,0,0.15,1,-1,-1
5866,HD 167300           ,89733,                             ,18,18,44.5741,-,61,56,6.85,274.68573,-61.9352379,9.23, ,F8V           , ,5800,69.6,4.09,0.12,-0.5,0.07,4,0.905,0.06
5867,HD 167304           ,89246,Li-rich 2.85                 ,18,12,42.615,+,41,8,48.623,273.1775513,41.146843,6.356, ,K0III         , ,4860,100,2.95,0.15,0.18,0.15,1,1.381,0.4835
5868,HD 167359           ,89497,                             ,18,15,49.0707,-,23,48,57.424,273.9544373,-23.8159504,8.58, ,G8V           , ,5352,90.984,4.46,0.11,-0.19,0.11,2,0.832,0.0365
5869,HD 167389           ,89282,                             ,18,13,7.226,+,41,28,31.319,273.2800903,41.4753685,7.38, ,F8            , ,5882,82.348,4.36,0.1,0,0.09,3,1.033,0.045
5870,HD 167539           ,0,                             ,18,15,5.354,+,16,15,42.44,273.7723083,16.2617893,8.05, ,M...          , ,3450,100,0.5,0.15,-0.23,0.15,1,1.03,0.1395
5871,HD 167576           ,89592,                             ,18,16,57.4918,-,27,42,57.16,274.239563,-27.7158794,6.66, ,K3III         , ,4613,100,2.31,0.15,0.2,0.15,1,2.479,0.814
5872,HD 167588           ,89408,                             ,18,14,43.9996,+,29,12,26.301,273.6833496,29.2073059,6.56, ,F8V           , ,5837,70.044,3.98,0.09,-0.38,0.07,4,1.022,0.0725
5873,HD 167659           ,0,                             ,18,16,58.5643,-,18,58,5.195,274.2440186,-18.968111,7.4, ,O7II-III      , ,36000,720,3.6,0.15,0,0.15,1,-1,-1
5874,HD 167665           ,89620,                             ,18,17,23.7584,-,28,17,20.201,274.348999,-28.2889442,6.4, ,F9VFe-0.8CH-0., ,6119,73.428,4.22,0.07,-0.18,0.07,4,1.104,0.052
5875,HD 167677           ,89583,                             ,18,16,49.5515,-,11,24,21.1,274.2064514,-11.4058609,8.9, ,G0            ,P,5460,54.6,4.44,0.08,-0.26,0.05,7,0.841,0.026
5876,HD 167718           ,89589,                             ,18,16,54.6395,-,10,27,32.003,274.2276611,-10.45889,8.307, ,G0            , ,5852,99.484,4.12,0.11,-0.07,0.11,2,1.048,0.071
5877,HD 167768           ,89587,                             ,18,16,53.1014,-,3,0,26.643,274.2212524,-3.0074008,6, ,G3III         , ,5008,102,2.58,0.21,-0.64,0.07,7,1.303,0.483
5878,HD 167818           ,89678,                             ,18,18,3.1909,-,27,2,33.508,274.5133057,-27.0426407,4.662, ,K5III         , ,4450,100,2,0.15,-0.2,0.15,1,1.176,0.373
5879,HD 167856           ,89505,                             ,18,15,53.3527,+,30,23,59.524,273.97229,30.399868,6.78, ,K0            , ,4708,100,2.65,0.15,-0.22,0.15,1,1.067,0.2105
5880,HD 168009           ,89474,                             ,18,15,32.4634,+,45,12,33.54,273.8852539,45.2093163,6.298, ,G1V           , ,5784,57.84,4.25,0.09,-0.01,0.05,11,1.004,0.034
5881,HD 168021           ,0,Double or multiple star      ,18,18,43.2458,-,18,37,10.606,274.6801758,-18.6196136,6.86, ,B0Ib          , ,26900,538,3.1,0.15,0,0.15,1,-1,-1
5882,HD 168060           ,89855,                             ,18,20,11.4631,-,45,55,20.088,275.04776,-45.9222488,7.34, ,G5V           , ,5598,95.166,4.05,0.12,0.28,0.11,2,1.096,0.091
5883,HD 168092           ,89401,Spectroscopic binary         ,18,14,40.9981,+,56,35,17.659,273.6708374,56.5882378,6.659, ,F0V+F0V       , ,7014,140.28,4.07,0.15,-0.12,0.15,1,1.475,0.121
5884,HD 168151           ,89348,36 Dra                       ,18,13,53.8327,+,64,23,50.225,273.4743042,64.3972855,5.03, ,F5V           , ,6475,99,4.08,0.05,-0.26,0.06,7,1.278,0.0675
5885,HD 168159           ,89728,                             ,18,18,40.6799,-,6,42,3.727,274.6694641,-6.701035,9.29, ,K3V           , ,4700,85,4.38,0.11,-0.14,0.11,2,0.709,0.029
5886,HD 168214           ,89881,Peculiar Star                ,18,20,26.841,-,40,16,21.732,275.1118469,-40.2727013,7.962, ,G6p           , ,5414,92.038,3.7,0.11,-0.05,0.11,2,1.302,0.1805
5887,HD 168218           ,89952,                             ,18,21,11.7796,-,49,8,36.453,275.2991028,-49.1434593,9.111, ,F8Vw          , ,6031,102.527,3.93,0.11,-0.5,0.11,2,1.072,0.099
5888,HD 168322           ,89604,                             ,18,17,6.8137,+,40,56,12.217,274.2783813,40.9367294,6.138, ,G8.5IIIb      , ,4816,95,2.48,0.29,-0.42,0.07,4,1.107,0.3085
5889,HD 168387           ,89772,                             ,18,19,9.5366,+,7,15,35.16,274.7897644,7.2597666,5.422, ,K2III         , ,4640,100,3.02,0.15,0.18,0.15,1,1.069,0.147
5890,HD 168393           ,89828,                             ,18,19,52.1295,-,11,17,15.182,274.9672241,-11.2875509,7.42, ,F5II          , ,6433,90.062,3.79,0.46,0.15,0.16,3,1.465,0.286
5891,HD 168415           ,89851,                             ,18,20,8.7927,-,15,49,54.109,275.0366516,-15.8316965,5.401, ,K3III         , ,3990,100,1.76,0.15,-0.21,0.15,1,1.032,0.137
5892,HD 168443           ,89844,                             ,18,20,3.9331,-,9,35,44.609,275.0164185,-9.5957241,6.92, ,G6V           ,P,5578,55.78,4.13,0.08,0.08,0.05,14,0.987,0.0455
5893,HD 168454           ,89931,del Sgr                      ,18,20,59.6417,-,29,49,41.172,275.2485046,-29.828104,2.71, ,K3IIIa        , ,4160,70,1.04,0.85,-0.18,0.21,3,1.077,0.216
5894,HD 168532           ,89773,105 Her                      ,18,19,10.6799,+,24,26,45.814,274.7944946,24.4460583,5.293, ,K4Iab:        , ,4130,100,2.05,0.15,0.13,0.15,1,1.091,0.1785
5895,HD 168603           ,89771,                             ,18,19,8.8206,+,33,13,52.57,274.7867737,33.2312698,8.26, ,K0V           , ,5422,108.44,4.5,0.15,0.13,0.15,1,0.914,0.0515
5896,HD 168608           ,89968,                             ,18,21,22.9867,-,18,51,35.998,275.3457947,-18.8600006,5.77, ,F8II          , ,5465,115,1,0.11,0,0.11,2,-1,-1
5897,HD 168653           ,89448,37 Dra                       ,18,15,17.0765,+,68,45,20.916,273.821167,68.7558136,5.969, ,K1III:        , ,4716,85,2.63,0.33,-0.09,0.11,2,1.114,0.259
5898,HD 168656           ,89918,74 Oph                       ,18,20,52.0631,+,3,22,37.795,275.2169189,3.3771653,4.857, ,G8III         , ,5042,70.588,2.81,0.18,-0.08,0.09,3,2.584,0.449
5899,HD 168714           ,90193,                             ,18,24,14.6984,-,55,3,18.684,276.0612488,-55.055191,8.9, ,G6III/IV      , ,5686,113.72,4.3,0.15,0.48,0.15,1,1.1,0.0725
5900,HD 168720           ,89861,                             ,18,20,17.9146,+,21,57,40.668,275.074646,21.961298,4.946, ,M0III         , ,3793,85,1.57,0.11,-0.03,0.11,2,1.037,0.113
5901,HD 168723           ,89962,58 Ser                       ,18,21,18.6007,-,2,53,55.77,275.3275146,-2.8988249,3.26, ,K0III-IV      , ,4926,50,3.05,0.15,-0.15,0.1,12,1.307,0.294
5902,HD 168746           ,90004,                             ,18,21,49.7828,-,11,55,21.653,275.457428,-11.9226818,7.95, ,G5V           ,P,5570,55.7,4.39,0.08,-0.08,0.05,15,0.91,0.027
5903,HD 168769           ,90112,                             ,18,23,19.6392,-,39,31,11.981,275.8318176,-39.5199928,9.369, ,K0V           , ,5311,74.354,4.47,0.09,0.05,0.09,3,0.872,0.034
5904,HD 168775           ,89826,kap Lyr                      ,18,19,51.7095,+,36,3,52.371,274.9654846,36.0645485,4.323, ,K2III         , ,4577,70,2.46,0.09,0.1,0.09,3,1.298,0.409
5905,HD 168788           ,90151,                             ,18,23,50.9255,-,45,8,23.953,275.9621887,-45.1399879,8.657, ,K0IV          , ,5258,89.386,4.44,0.11,0.29,0.11,2,0.912,0.0375
5906,HD 168863           ,90055,                             ,18,22,39.5568,-,18,1,15.616,275.6648254,-18.0210037,9.42, ,K2/K3V        , ,4905,100,4.4,0.15,0.16,0.15,1,0.809,0.041
5907,HD 168870           ,90194,                             ,18,24,15.046,-,46,56,35.47,276.0626831,-46.9431877,9.28, ,K0V           , ,5325,106.5,4.43,0.15,-0.32,0.15,1,0.809,0.045
5908,HD 168871           ,90223,                             ,18,24,33.1377,-,49,39,10.361,276.1380615,-49.6528778,6.454, ,G1/2V         , ,5972,59.72,4.35,0.09,-0.1,0.05,5,1.05,0.0345
5909,HD 168874           ,89912,Double or multiple star      ,18,20,49.2558,+,27,31,49.193,275.2052307,27.5303307,7.008, ,G2IV          , ,5824,116.48,4.32,0.15,0.03,0.15,1,1.018,0.069
5910,HD 169156           ,90135,zet Sct                      ,18,23,39.5845,-,8,56,3.78,275.9149475,-8.9343834,4.673, ,G9IIIb        , ,4969,85,2.98,0.11,-0.04,0.11,2,1.976,0.522
5911,HD 169191           ,90067,                             ,18,22,49.0401,+,17,49,35.819,275.7043457,17.8266182,5.261, ,K3III         , ,4398,118,2.51,0.14,-0.05,0.11,2,1.045,0.139
5912,HD 169233           ,90260,18 Sgr                       ,18,25,1.4259,-,30,45,23.652,276.2559509,-30.7565708,5.587, ,K0III         , ,4341,100,1.5,0.15,-0.79,0.15,1,0.973,0.1805
5913,HD 169305           ,89981,                             ,18,21,32.6632,+,49,7,17.737,275.3861084,49.1215935,5.044, ,M2III         , ,3641,100,1.12,0.15,-0.08,0.15,1,1.062,0.156
5914,HD 169315           ,90245,XX Sgr                       ,18,24,44.5035,-,16,47,49.831,276.1854248,-16.7971745,8.41, ,F7/F8II       , ,5862,237,1.73,0.15,0.11,0.07,4,2.911,0.11
5915,HD 169359           ,90144,                             ,18,23,47.0617,+,14,54,27.813,275.946106,14.9077253,7.81, ,G0            , ,5841,81.774,4.13,0.09,-0.28,0.09,3,0.983,0.0575
5916,HD 169370           ,90238,                             ,18,24,42.1283,-,7,4,33.37,276.1755066,-7.0759358,6.296, ,K0            , ,4460,100,2.3,0.15,-0.17,0.15,1,1.076,0.207
5917,HD 169383           ,90442,                             ,18,27,12.9367,-,51,53,3.395,276.8039246,-51.8842773,7.98, ,G3V           , ,5770,80.78,4.07,0.09,-0.44,0.09,3,0.929,0.0595
5918,HD 169401           ,0,                             ,18,26,12.5918,-,38,1,11.377,276.5524597,-38.019825,10.58, ,K3III         , ,5760,115.2,4.7,0.15,-0.46,0.15,1,0.862,0.0545
5919,HD 169414           ,90139,109 Her                      ,18,23,41.8896,+,21,46,11.107,275.9245605,21.7697525,3.84, ,K2III         , ,4528,70,2.66,0.29,-0.02,0.09,3,1.067,0.172
5920,HD 169506           ,91271,                             ,18,37,2.6233,-,79,37,44.771,279.2609253,-79.6291046,7.96, ,G0V           , ,6454,129.08,3.96,0.15,0.52,0.15,1,1.571,0.1615
5921,HD 169582           ,90320,                             ,18,25,43.1467,-,9,45,11.036,276.4297791,-9.7530651,8.7, ,O6I           , ,37000,629,3.45,0.11,0,0.11,2,-1,-1
5922,HD 169586           ,90397,                             ,18,26,40.8205,-,30,23,36.001,276.6700745,-30.3933334,6.75, ,G0V           , ,6214,124.28,4.13,0.15,0.23,0.15,1,1.306,0.1165
5923,HD 169767           ,90568,zet Tel                      ,18,28,49.8587,-,49,4,14.116,277.2077332,-49.0705872,4.13, ,K1III-IV      , ,4720,100,2.71,0.15,-0.2,0.15,1,1.06,0.1985
5924,HD 169822           ,90355,                             ,18,26,10.0892,+,8,46,39.282,276.5420227,8.7775784,7.83, ,G6V           , ,5560,94.52,4.49,0.11,-0.13,0.11,2,0.9,0.0425
5925,HD 169830           ,90485,                             ,18,27,49.4852,-,29,49,0.705,276.9562073,-29.816864,5.902, ,F7V           ,P,6318,71,4.12,0.11,0.15,0.05,21,1.328,0.0815
5926,HD 169889           ,90365,                             ,18,26,21.9377,+,8,36,56.772,276.5914001,8.6157703,8.27, ,G9V           , ,5315,74.41,4.44,0.09,-0.15,0.09,3,0.832,0.031
5927,HD 169916           ,90496,lam Sgr                      ,18,27,58.2405,-,25,25,18.12,276.9926758,-25.4216995,2.833, ,K1IIIb        , ,4721,50,2.79,0.17,-0.03,0.07,5,1.152,0.241
5928,HD 169985           ,90441,d Ser                        ,18,27,12.5084,+,0,11,45.99,276.802124,0.1961083,5.21, ,G0III+...     , ,6014,234,3.54,0.3,0.38,0.11,2,1.57,0.309
5929,HD 170053           ,0,                             ,18,27,14.2807,+,7,0,32.748,276.8095093,7.0090966,7.305, ,K0IIb         , ,4369,100,1.46,0.15,0.04,0.15,1,1.309,0.533
5930,HD 170058           ,0,                             ,18,27,37.9705,-,3,56,13.199,276.9082336,-3.9369998,8.424, ,G5            , ,5896,117.92,4.21,0.15,0.13,0.15,1,1.095,0.091
5931,HD 170153           ,89937,chi Dra                      ,18,21,3.3826,+,72,43,58.235,275.2640991,72.7328415,3.57, ,F7V           , ,6066,76,4.27,0.1,-0.63,0.07,6,0.92,0.038
5932,HD 170174           ,0,Cl* NGC6633                  ,18,27,54.735,+,6,36,0.36,276.9780579,6.6001,8.3, ,K2            , ,5245,104.9,3.11,0.15,0.35,0.15,1,2.465,0.317
5933,HD 170232           ,90539,                             ,18,28,24.8121,-,3,52,33.709,277.1033936,-3.8760304,8.38, ,G0            , ,5339,64.068,4.46,0.07,-0.22,0.07,4,0.821,0.027
5934,HD 170331           ,90655,                             ,18,29,52.018,-,26,1,31.437,277.4667664,-26.0253983,8.83, ,G5V           , ,5831,99.127,3.99,0.11,0.16,0.11,2,1.189,0.107
5935,HD 170357           ,90393,                             ,18,26,37.7259,+,46,5,1.598,276.6571655,46.0837746,8.31, ,G1V           , ,5639,78.946,3.98,0.09,-0.52,0.16,3,0.919,0.071
5936,HD 170448           ,90584,                             ,18,29,1.9639,+,11,39,1.583,277.2581787,11.6504393,8.06, ,G0            , ,6230,124.6,3.54,0.15,0.42,0.15,1,1.84,0.1755
5937,HD 170469           ,90593,                             ,18,29,10.9812,+,11,41,43.798,277.2957458,11.6954994,8.18, ,G5            ,P,5789,57.89,4.26,0.09,0.29,0.05,7,1.129,0.049
5938,HD 170474           ,90642,c Ser                        ,18,29,40.9798,-,1,59,7.108,277.4207458,-1.9853078,5.39, ,K0III         , ,4949,85,2.87,0.11,0.04,0.11,2,2.077,0.5105
5939,HD 170493           ,90656,                             ,18,29,52.4073,-,1,49,5.173,277.4683533,-1.8181036,8.004, ,K4V           , ,4743,70,4.47,0.2,0.23,0.08,5,0.779,0.0285
5940,HD 170525           ,90981,                             ,18,33,29.4714,-,58,42,31.624,278.3727722,-58.708786,6.427, ,G5IV          , ,5535,110.7,3.7,0.15,-0.2,0.15,1,1.184,0.1975
5941,HD 170527           ,90274,Li-rich 3.12                 ,18,25,10.1138,+,64,50,18.312,276.2921448,64.8384247,6.87, ,K0            , ,4810,100,2.85,0.15,-0.1,0.15,1,1.105,0.251
